name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
WISE0047,Confirmed,20.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,2012,2020-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Imaging,Spectrum,,"WISEP J004701.06+680352.1, 2MASS J00470038+6803543, W0047+68",,,11.7516110001289,68.0651020130816,,,,,,12.1,0.2,0.2,,,,,,,,,,,,,,,,,,,
WISE 0359-54,Confirmed,1.0,,,,,,,,,,,,,,,,,,,,,,2023,2023-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.0,,,,,,Submitted to a professional journal,Imaging,Spectrum,,WISE J035934.06-540154.6,,,59.8919460113557,-54.031845012476,,,,,,13.27,1.3,1.3,,,,,,,,,,,,,,,,,,,
WISE 0855-0714,Confirmed,6.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,2014,2018-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,WISE J085510.83-071442.5,,,133.795833337,-7.245277792,,,,,,2.31,0.08,0.08,,,,,,,,,,,,,,,,,,,
WISE 1118+3125,Confirmed,26.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,2013,2019-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,WISE J111838.70+312537.9,,,169.661208346,31.4271389056,,,,,,8.8,0.4,0.4,,,,,,,,,,,,,,,,,,,
WISE 1217+16 A b,Confirmed,22.0,2.0,2.0,,,,0.96,0.03,0.03,47400.0,11000.0,11000.0,7.6,,,,,,,,,,2012,2017-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.0,,,,,4.8,Published in a refereed paper,Imaging,,,"WISEPC J121756.91+162640.2B, WISE J1217+1626B","CH4, H2, H2O",WISE 1217+16 A,184.487500019,16.444444462,19.0,,18.0,,,10.0,2.0,2.0,,,,0.03,0.005,0.005,0.091,0.004,0.004,T8.5,6.0,2.0,2.0,575.0,25.0,25.0,,,
WISE 1711+3500 b,Confirmed,18.0,7.0,7.0,,,,,,,125000.0,29000.0,29000.0,15.0,2.0,2.0,,,,,,,,2012,2015-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.0,,,,,4.56,Published in a refereed paper,Imaging,,,WISE J1511+3500B,,WISE 1711+3500,257.770833335,35.010277786,18.0,,,,,19.0,3.0,3.0,,,,0.034,0.012,0.012,,,,T8,3.0,2.0,2.0,770.0,80.0,80.0,,,WISE J1511+3500B
WISE 1828+2650,Confirmed,10.25,9.75,9.75,,,,,,,,,,,,,,,,,,,,2011,2023-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.0,75.0,,,,,Published in a refereed paper,Imaging,,,WISEP J1828+2650,,,277.13000001,26.8439166918,,,,,,11.2,1.0,1.0,,,,,,,,,,,,,,,,,,,
WISE 2005+5424,Confirmed,29.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,2011,2018-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,WISE J200520.38+542433.9,,,301.253416667,54.4316389092,,,,,,15.83,0.96,0.96,,,,,,,,,,,,,,,,,,,
WISE 2150A b,Confirmed,34.0,22.0,22.0,,,,,,,,,,341.0,,,,,,,,,,2019,2019-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,WISE 2150A,327.566666672,-75.343611126,,,,,,24.2,,,,,,0.072,0.012,0.012,,,,L1,,,,2118.0,62.0,62.0,,,2MASS J21501592-7520367
WISEA J083011.95+283716.0,Confirmed,8.5,4.5,4.5,,,,,,,,,,,,,,,,,,,,2020,2021-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.0,,,,,,,,,Submitted to a professional journal,Imaging,,,WISEA  J0830+2837,,,127.54979167065,28.621111127,,,,,,11.1,1.5,1.5,,,,,,,,,,,,,,,,,,,
WISE J041358.14-475039.3,Confirmed,32.04,14.76,14.76,,,,,,,,,,,,,,,,,,,,2012,2022-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,,63.4922680193814,-47.8442510254008,,,,,,22.0,3.0,3.0,,,,,,,,,,,,,,,,,,,
WISE J0720-0846,Confirmed,62.0,0.11,0.11,,,,,,,1388.0,475.0,475.0,1.3,0.3,0.3,0.8,0.6,0.6,93.5,1.6,1.6,,2014,2015-11-24,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,WISE J0720-0846,110.012500001,-8.78083336,,,,,,6.8,0.7,0.7,,,,0.081,0.016,0.016,,,,M,,,,,,,,,
WISE J1355-8258 b,Confirmed,9.0,,,,,,,,,,,,,,,,,,,,,,2018,2021-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Astrometry,,,,WISE J1355-8258,208.762500001,-82.97722225,,,,,,16.7,5.3,5.3,,,,0.011,,,,,,sdL5,0.165,0.035,0.035,,,,,,
WISE J2216+1952,Confirmed,5.0,1.0,1.0,,,,1.32,0.02,0.02,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,909.0,41.0,41.0,,,,,,3.79,Published in a refereed paper,Imaging,Spectrum,Flux,"WISE J221628.62+195248.1, PSO J334.1193+19.8800",,,334.11925000954,19.8800278058,,,,,,30.7,3.2,3.2,,,,,,,,,,,,,,,,,,,
Wolf 940 b,Confirmed,26.0,6.0,6.0,,,,0.92,0.04,0.04,,,,400.0,22.0,22.0,,,,,,,,2009,2018-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85,Published in a refereed paper,Imaging,Spectrum,,2MASS J21464040-0010233 b,,Wolf 940,326.668428113,-0.173269885854,12.7,,8.36,,,12.5,0.67,0.67,-0.06,0.2,0.2,0.27,0.03,0.03,,,,M4V,5.0,1.5,1.5,,,,,,2MASS J21464040-0010233
YSES 2 b,Confirmed,6.3,0.9,0.9,,,,,,,,,,114.0,,,,,,,,,,2021,2021-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"TYC 8984-2245-1 b, 2MASS J11275535-6626046 b",,YSES 2,171.979166685,-66.434722232,10.9,,,,,109.25,0.14,0.14,,,,1.1,0.03,0.03,1.193,0.022,0.022,K1V,13.9,2.3,2.3,4749.0,40.0,40.0,,,"TYC 8984-2245-1, 2MASS J11275535-6626046"
zet Del B,Confirmed,40.0,5.0,5.0,,,,,,,,,,907.0,236.0,236.0,,,,,,,,2014,2019-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Published in a refereed paper,Imaging,Spectrum,,,,zet Del A,308.827231817,14.6742132163,4.647,,4.821,4.484,4.357,67.48,1.05,1.05,-0.05,,,2.5,0.2,0.2,,,,A3V,0.525,0.125,0.125,8336.0,,,,,"HD 196180, HIP 101589, 2MASS J20351852+1440272"
